ChallengeId,ribbons,name,pace1,meters,spm,pace2,pace3,gain1,all1,pace4,gain2,all1
1,/challenge/2008/12/,"30 minutes @ 20 spm",2008,12,T,1800
1,ribbons,name,pace,meters,spm,pace,pace,gain,all,pace,gain,all
14,None,Matteo,1:32.1,9:12.3,25,None,16,None,16,16,None,16,None
14,None,ausrwr,1:32.6,9:15.6,24,10.0,15,5,20,113,27,140,None
14,None,NavHaz,1:33.6,9:21.4,32,None,14,None,14,105,55,160,None
14,None,Hewitt,1:34.3,9:25.9,30,11.2,13,8,21,75,26,101,None
14,None,DaveC,1:35.3,9:31.5,32,13.0,12,11,23,123,62,185,None
14,None,Stu,1:36.3,9:37.6,35,10.6,11,7,18,131,56,187,None
14,None,toddler,1:39.2,9:55.2,29,11.9,10,9,19,88,71,159,None
14,None,stupe,1:40.8,10:05.0,33,8.0,9,2,11,81,56,137,None
14,None,GregC,1:41.3,10:07.6,25,6.4,8,1,9,94,64,158,None
14,None,AndyB,1:41.7,10:10.4,30,12.9,7,10,17,70,43,113,None
14,None,Adrian,1:44.0,10:24.1,27,10.5,6,6,12,66,61,127,None
14,None,DaveS,1:48.5,10:51.2,27,None,5,None,5,39,19,58,None
14,None,Arlene,1:54.9,11:29.2,31,9.4,4,4,8,29,65,94,None
14,None,Claire,2:00.4,12:02.4,28,None,3,None,3,3,None,3,None
14,None,Kay,2:00.6,12:03.5,27,9.1,2,3,5,17,59,76,None
14,None,Jane,2:13.0,13:18.2,28,None,1,None,1,2,None,2,None
15,/challenge/2010/02/,"6000 m",2010,2,D,6000
15,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
15,None,Matteo,1:39.5,19:54.0,25,-7.4,15,8,23,31,8,39,None
15,None,Danny,1:42.7,20:32.0,26,-12.3,14,1,15,142,50,192,None
15,None,Hewitt,1:43.8,20:45.6,27,-9.5,13,5,18,88,31,119,None
15,None,DaveC,1:44.7,20:56.0,28,-9.4,12,6,18,135,68,203,None
15,None,Stu,1:46.5,21:17.4,24,-10.2,11,3,14,142,59,201,None
15,None,GregC,1:47.3,21:28.1,25,-6.0,10,10,20,104,74,178,None
15,None,Rocky,1:47.5,21:29.9,22,None,9,None,9,90,36,126,None
15,None,stupe,1:48.3,21:39.3,27,-7.5,8,7,15,89,63,152,None
15,None,toddler,1:49.9,21:59.2,24,-10.7,7,2,9,95,73,168,None
15,None,AndyB,1:52.4,22:28.5,25,-10.7,6,2,8,76,45,121,None
15,None,Adrian,1:54.2,22:49.8,25,-10.2,5,3,8,71,64,135,None
15,None,Emma,2:03.8,24:45.7,25,None,4,None,4,18,16,34,None
15,None,Arlene,2:04.9,24:59.3,26,-10.0,3,4,7,32,69,101,None
15,None,Kay,2:11.3,26:15.5,27,-10.7,2,2,4,19,61,80,None
15,None,Jane,2:19.2,27:50.8,27,-6.2,1,9,10,3,9,12,None
16,/challenge/2010/03/,"21,097 m",2010,3,D,21097
16,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
16,None,Danny,1:44.8,1:13:41.9,24,-2.1,12,9,21,154,59,213,None
16,None,Stu,1:48.0,1:15:55.3,25,-1.5,11,10,21,153,69,222,None
16,None,GregC,1:52.3,1:18:59.7,23,-5.0,10,5,15,114,79,193,None
16,None,toddler,1:53.2,1:19:36.4,22,-3.3,9,8,17,104,81,185,None
16,None,DaveC,1:54.2,1:20:18.8,23,-9.5,8,1,9,143,69,212,None
16,None,Adrian,1:58.6,1:23:25.3,24,-4.4,7,7,14,78,71,149,None
16,None,MattN,1:59.9,1:24:20.0,24,None,6,None,6,56,40,96,None
16,None,DaveS,2:06.9,1:29:16.5,22,None,5,None,5,44,19,63,None
16,None,Arlene,2:09.4,1:30:59.5,25,-4.5,4,6,10,36,75,111,None
16,None,Emma,2:09.9,1:31:21.1,24,-6.1,3,4,7,21,20,41,None
16,None,Kay,2:18.4,1:37:21.3,26,-7.1,2,3,5,21,64,85,None
16,None,Jane,2:26.7,1:43:10.6,25,-7.5,1,2,3,4,11,15,None
17,/challenge/2010/04/,"4  1000 m, 4' rest",2010,4,D,4000
17,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
17,None,Danny,1:32.5,12:20.2,30,12.3,14,4,18,168,63,231,None
17,None,NavHaz,1:37.8,13:02.8,21,None,13,None,13,118,55,173,None
